2021-12-24 13:12:622 INFO  FindYourProductPage :193 - Click on the mobile[[[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a], [[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none s-padding-right-small s-title-instructions-style']//a]]
2021-12-24 13:12:876 INFO  ProductDescriptionPage :47 - Select the quantity[[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //select[@id='quantity']]
2021-12-24 13:12:594 INFO  ProductDescriptionPage :53 - Click on add to cart[[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //input[@id='add-to-cart-button']]
2021-12-24 13:12:832 INFO  ProductDescriptionPage :63 - Verifies add to cart text[[ChromeDriver: chrome on WINDOWS (474743dc9470a35708437464aaea2bfd)] -> xpath: //div[@class='a-section a-spacing-none a-padding-none']//span]
2021-12-24 13:12:572 INFO  ManageDriver :33 - Launching Chrome Browser
2021-12-24 13:12:134 INFO  HomePage :36 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (858f9c73a04da2783e85250adfa0f719)] -> xpath: //input[@id='twotabsearchtextbox']]
2021-12-24 13:12:639 INFO  HomePage :42 - Click on the search button[[ChromeDriver: chrome on WINDOWS (858f9c73a04da2783e85250adfa0f719)] -> id: nav-search-submit-button]
2021-12-24 13:12:935 INFO  FindYourProductPage :59 - Click on the checkbox[[ChromeDriver: chrome on WINDOWS (858f9c73a04da2783e85250adfa0f719)] -> id: p_89/Lenovo]
2021-12-24 13:12:572 INFO  ManageDriver :33 - Launching Chrome Browser
2021-12-24 13:12:763 INFO  HomePage :36 - Search in the search bar[[ChromeDriver: chrome on WINDOWS (1f6c2992a39733b728461361021863aa)] -> xpath: //input[@id='twotabsearchtextbox']]
2021-12-24 13:12:285 INFO  HomePage :42 - Click on the search button[[ChromeDriver: chrome on WINDOWS (1f6c2992a39733b728461361021863aa)] -> id: nav-search-submit-button]
2021-12-24 13:12:60 INFO  FindYourProductPage :65 - Click on the check box[[ChromeDriver: chrome on WINDOWS (1f6c2992a39733b728461361021863aa)] -> id: p_89/Nokia]
